Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
B129,B,Kaiser Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station",,,Brooklyn Sector 13,,District 13,,,31.95,26.26,,107,178,,133,381,1543.00,,2749.00,,,2326.00,,5710.00,,5.7,4.7,5.5,6.4,,Yes,Yes,Yes,Yes,3010.00,13104.00,6113.00,972.00
X142 29,X,Riverdale Park,,,,,,,,"Large
Park","Natural Areas,Trails",,,"Bronx
Sector 7.8",,"Districts
7, 8",,,29.00,144.29,,1,3,,3,2,23.00,,48.00,,,58.00,,39.00,,1.1,1.0,2.0,1.2,,No,No,No,No,13.00,140.00,131.00,406.00
Q476,Q,College Point Fields,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station",,,Queens Sector 7,,District 7,,,26.83,26.83,,71,68,,27,33,879.00,,835.00,,,349.00,,424.00,,6.2,5.8,2.5,3.5,,Yes,Yes,Yes,Yes,546.00,1777.00,826.00,920.00
M077,M,St. Nicholas Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Manhattan Sector 7.9,,"Districts 7, 9",,,25.85,22.74,,144,169,,125,123,2116.00,,2551.00,,,1956.00,,1950.00,,6.1,6.7,6.5,6.6,,Yes,Yes,Yes,Yes,4615.00,5844.00,8310.00,4466.00
X030,X,Macombs Dam Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Bronx Sector 4.5,,"Districts 4, 5",,,25.48,44.17,,99,103,,103,119,1383.00,,1381.00,,,1443.00,,1673.00,,6.1,6.8,6.8,6.6,,No,Yes,Yes,Yes,5138.00,7721.00,5563.00,4143.00
B087 1,B,Sunset Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,24.50,24.50,,65,112,,101,153,929.00,,1558.00,,,1396.00,,2212.00,,6.4,6.8,6.5,6.8,,No,Yes,Yes,Yes,7943.00,3569.00,4451.00,27901.00
B066,B,Owl's Head Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Brooklyn Sector 10.12,,"Districts 10, 12",,,24.22,24.22,,182,63,,93,76,3219.00,,784.00,,,1406.00,,1235.00,,6.1,4.6,6.5,6.7,,Yes,Yes,Yes,Yes,4585.00,24125.00,1048.00,7759.00
"Q458 1, 30",Q,Fort Totten Park,,,,,,,,Large Park,"Comfort Station,Playground",,,Queens Sector 7A,,District 7A,,,23.63,60.39,,78,54,,23,99,1056.00,,736.00,,,336.00,,1424.00,,6.5,6.6,3.8,6.8,,Yes,Yes,No,Yes,12069.00,22257.00,11951.00,23927.00
Q107,Q,Springfield Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,"Queens Sector
11.13",,"Districts 11, 13",,,23.54,23.54,,55,47,,33,99,729.00,,667.00,,,513.00,,1572.00,,5.6,5.9,4.7,6.1,,Yes,Yes,Yes,Yes,2932.00,2084.00,148.00,1266.00
R017 1,R,Freshkills Park,,,,,,,,Large Park,"Athletic Facilities,Natural Areas,Trails",,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,23.44,920.43,,12,14,,10,19,183.00,,222.00,,,174.00,,310.00,,6.4,6.6,5.9,6.9,,No,No,No,No,4103.00,6741.00,3022.00,4032.00
R140,R,King Fisher Park,,,,,,,,Large Park,"Natural Areas,Trails",,,"Staten Island
Sector 3",,District 3,,,23.01,23.01,,9,6,,2,6,144.00,,101.00,,,42.00,,93.00,,1.2,1.2,1.3,1.2,,Yes,Yes,Yes,Yes,0.00,0.00,0.00,169.00
R121,R,Siedenburg Park,,,,,,,,Large Park,"Natural Areas,Trails",,,"Staten Island
Sector 3",,District 3,,,22.88,22.88,,6,6,,3,6,94.00,,102.00,,,59.00,,98.00,,1.1,1.4,1.3,1.7,,Yes,Yes,Yes,No,29.00,0.00,0.00,223.00
B054 1,B,Lincoln Terrace / Arthur S. Somers Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,22.34,17.14,,255,317,,140,173,3446.00,,3842.00,,,1753.00,,2545.00,,6.5,6.7,6.4,6.9,,Yes,Yes,Yes,Yes,4894.00,2860.00,3003.00,1109.00
M283 31,M,Battery Park City,,,,,,,,"Large
Park",Playgrounds,,,"Manhattan
Sector 1.2",,"Districts
1, 2",,,22.13,28.43,,,,,10,38,,,,,,61.00,,407.00,,,,1.0,1.0,,,,Yes,Yes,,,,
Q009 1,Q,Macneil Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 7,,District 7,,,22.03,28.87,,28,21,,27,56,485.00,,333.00,,,425.00,,964.00,,4.1,3.1,4.0,5.9,,Yes,Yes,Yes,Yes,4722.00,4001.00,4687.00,973.00
R169,R,Goodhue Park,,,,,,,,Large Park,"Athletic Facilities,Trails",,,"Staten Island
Sector 1",,District 1,,,21.50,26.53,,9,8,,11,6,135.00,,122.00,,,172.00,,97.00,,5.1,5.8,5.5,4.5,,No,No,No,No,24.00,700.00,209.00,0.00
B080 1,B,Asser Levy Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 13,,District 13,,,21.04,21.04,,64,91,,17,20,821.00,,1315.00,,,222.00,,281.00,,6.0,3.4,3.0,3.6,,Yes,Yes,No,No,9442.00,3958.00,1686.00,1671.00
R145 1,R,Seaside Wildlife Nature Park,,,,,,,,Small Park,,,,"Staten Island
Sector 3",,District 3,,,20.91,20.91,,8,6,,4,6,143.00,,109.00,,,75.00,,113.00,,6.1,6.2,5.3,6.4,,No,No,No,No,1921.00,836.00,167.00,320.00
M005 32,M,The Battery,,,,,,,,"Large
Park",Comfort Stations,,,"Manhattan
Sector 1.2",,"Districts
1, 2",,,20.82,21.88,,175,160,,137,258,1304.00,,631.00,,,65.00,,480.00,,5.2,5.9,5.5,6.1,,Yes,Yes,Yes,Yes,1909.00,4179.00,2685.00,4723.00
M058 1,M,Marcus Garvey Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Manhattan Sector 10.11,,"Districts 10, 11",,,20.39,20.17,,331,250,,239,268,4073.00,,3003.00,,,3190.00,,3753.00,,6.6,6.8,6.4,6.6,,Yes,Yes,Yes,Yes,5524.00,4212.00,6776.00,16337.00
Q104 1,Q,Queensbridge Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 1.2,,"Districts 1, 2",,,20.34,20.34,,120,72,,67,113,1900.00,,1142.00,,,1115.00,,1865.00,,6.3,6.1,6.3,6.8,,Yes,Yes,Yes,Yes,3854.00,5547.00,27258.00,5942.00
X104 1,X,Williamsbridge Oval,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Bronx Sector 7.8,,"Districts 7, 8",,,19.75,19.75,,166,131,,56,101,2436.00,,1767.00,,,909.00,,1479.00,,5.5,5.8,5.5,5.4,,Yes,Yes,Yes,Yes,7013.00,2857.00,2296.00,3760.00
B166C,B,Coney Island Boat Basin,,,,,,,,Large Park,"Athletic Facilities,Natural
Areas,Trails",,,Brooklyn Sector 13,,District 13,,,18.89,36.81,,6,20,,7,16,84.00,,253.00,,,95.00,,219.00,,4.0,2.8,2.2,2.4,,No,No,No,No,118.00,92.00,419.00,658.00
Q467,Q,Broad Channel American Park,,,,,,,,Large Park,"Athletic Facilities,Natural
Areas,Trails",,,Queens Sector 14,,District 14,,,18.77,18.77,,10,10,,6,11,133.00,,131.00,,,81.00,,141.00,,3.8,4.8,4.8,5.0,,No,No,No,No,40.00,344.00,341.00,528.00
B029,B,Eastern Parkway,,,,,,,,"Large
Park",,,,"Brooklyn
Sector 8.9",,"Districts
8, 9",,,17.90,63.64,,118,167,,133,144,1489.00,,1801.00,,,1650.00,,1834.00,,5.6,6.5,6.5,6.7,,Yes,Yes,No,Yes,2275.00,806.00,759.00,2.00
M053,M,Theodore Roosevelt Park,,,,,,,,"Large
Park",,,,"Manhattan
Sector 7.9",,"Districts
7, 9",,,17.58,17.58,,101,79,,89,97,1392.00,,1126.00,,,1276.00,,1420.00,,6.1,6.4,6.5,7.0,,Yes,Yes,Yes,Yes,503.00,579.00,168.00,1287.00
B007,B,Bensonhurst Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
11.15",,"Districts 11, 15",,,17.50,17.50,,72,49,,46,98,1232.00,,721.00,,,713.00,,1382.00,,5.6,6.2,6.0,6.7,,Yes,No,No,No,120708.00,46383.00,5008.00,3370.00
Q461,Q,Powell's Cove Park,,,,,,,,"Large
Park","Natural Areas,Trails",,,"Queens
Sector 7",,District 7,,,16.98,55.02,,4,2,,4,4,71.00,,32.00,,,67.00,,77.00,,2.6,1.3,2.0,2.0,,Yes,No,No,No,2399.00,299.00,1091.00,3088.00
X047,X,Franz Sigel Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,16.97,15.99,,102,97,,65,120,1523.00,,1363.00,,,955.00,,1256.00,,6.4,6.6,5.5,6.2,,Yes,Yes,Yes,Yes,1404.00,799.00,3921.00,1979.00
R048,R,Jones Woods Park,,,,,,,,Large Park,Trails,,,"Staten Island
Sector 1",,District 1,,,16.93,16.93,,7,6,,5,5,107.00,,86.00,,,79.00,,72.00,,5.1,5.2,4.8,3.8,,No,No,No,No,,,,
Q126,Q,Francis Lewis Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 7,,District 7,,,16.83,16.83,,10,5,,21,19,177.00,,79.00,,,276.00,,254.00,,3.7,2.5,3.5,3.6,,No,Yes,Yes,Yes,1267.00,1151.00,696.00,2255.00
B052,B,Leif Ericson Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Brooklyn Sector 10.12,,"Districts 10, 12",,,16.80,16.80,,235,79,,124,158,3580.00,,1004.00,,,1841.00,,2388.00,,6.5,5.5,6.7,7.0,,Yes,Yes,Yes,Yes,2744.00,3056.00,2943.00,4035.00
R124,R,Eibs Pond Park,,,,,,,,Large Park,"Natural Areas,Trails",,,"Staten
Island Sector 1",,District 1,,,16.51,16.51,,6,5,,6,6,92.00,,76.00,,,84.00,,88.00,,4.4,4.7,4.2,4.2,,No,No,No,No,737.00,0.00,599.00,27.00
Q412,Q,Railroad Park,,,,,,,,Large Park,,,,"Queens Sector
10.12",,"Districts 10, 12",,,16.44,16.44,,12,8,,6,6,172.00,,120.00,,,82.00,,93.00,,3.4,2.6,3.3,3.0,,No,No,No,No,2101.00,0.00,324.00,40.00
B247,B,Breukelen Ballfields,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station,Playground",,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,16.16,16.16,,106,68,,63,126,1491.00,,861.00,,,863.00,,1924.00,,6.4,5.6,4.7,5.7,,Yes,Yes,Yes,Yes,442.00,2439.00,3332.00,1011.00
X034 1,X,Mullaly Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Bronx Sector 4.5,,"Districts 4, 5",,,15.98,15.05,,107,94,,60,93,1623.00,,1400.00,,,949.00,,1370.00,,6.5,6.8,5.9,5.8,,No,Yes,Yes,Yes,5283.00,3963.00,5267.00,29415.00
M353,M,Riverside Park South,,,,,,,,Large Park,"Athletic Facilities,Playgroun
d",,,Manhattan Sector 14,,District 14,,,15.90,66.69,,103,71,,57,133,1485.00,,1193.00,,,1002.00,,2244.00,,4.2,5.0,5.0,5.0,,No,No,No,No,4671.00,703.00,1634.00,1264.00
R117 2,R,Alice Austen Park,,,,,,,,Large Park,,,,"Staten Island
Sector 1",,District 1,,,15.52,15.52,,5,6,,7,7,80.00,,80.00,,,99.00,,103.00,,5.9,6.2,5.8,5.7,,No,No,No,No,740.00,10768.00,4755.00,2422.00
M047 1,M,Thomas Jefferson Park,,,,,,,,Large Park,"Athletic
Facilities,Playgroun d",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,15.52,15.52,,181,127,,33,152,2211.00,,1534.00,,,428.00,,2043.00,,6.1,5.7,4.4,6.3,,Yes,Yes,No,Yes,1908.00,11326.00,2854.00,11416.00
M300,M,Sherman Creek,,,,,,,,Small Park,"Natural Areas,Trails",,,"Manhattan
Sector 12.12A",,"Districts 12, 12A",,,15.38,15.38,,26,23,,23,118,350.00,,292.00,,,305.00,,418.00,,6.5,6.4,6.3,6.3,,No,No,No,Yes,233.00,297.00,253.00,966.00
X136 1,X,Harris Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 7.8,,"Districts 7, 8",,,15.32,15.32,,88,73,,34,45,1276.00,,1061.00,,,570.00,,707.00,,6.0,5.3,5.1,5.2,,Yes,Yes,Yes,Yes,1672.00,3507.00,1486.00,4934.00
X010A,X,Tremont Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Bronx Sector 3.6,,"Districts 3, 6",,,15.00,15.00,,182,127,,118,159,2484.00,,1783.00,,,1510.00,,2267.00,,5.9,5.5,4.6,6.1,,Yes,Yes,Yes,Yes,1092.00,990.00,1555.00,1751.00
M081 2,M,Carl Schurz Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Manhattan Sector 6.8.15,,"Districts 6, 8, 15",,,14.63,14.94,,271,315,,371,394,3463.00,,4170.00,,,4772.00,,5153.00,,6.6,7.0,7.0,7.0,,Yes,Yes,Yes,Yes,16827.00,33366.00,25396.00,26699.00
R059,R,Von Briesen Park,,,,,,,,Large Park,,,,"Staten Island
Sector 1",,District 1,,,13.94,13.94,,6,6,,6,5,86.00,,89.00,,,83.00,,71.00,,4.9,4.8,4.8,3.9,,No,No,No,No,404.00,397.00,14.00,363.00
Q094,Q,Tudor Park,,,,,,,,Large Park,"Athletic
Facilities,Playgroun d",,,"Queens
Sector 10.12",,"Districts 10, 12",,,13.54,13.54,,43,65,,53,56,605.00,,901.00,,,768.00,,845.00,,6.4,7.0,6.9,7.0,,No,No,No,No,3109.00,1196.00,1221.00,2569.00
R075A,R,Father Macris Park,,,,,,,,Large Park,Athletic Facilities,,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,13.47,13.47,,9,10,,9,7,137.00,,145.00,,,120.00,,110.00,,5.9,6.1,6.0,6.4,,No,No,No,No,0.00,310.00,432.00,29.00
Q084 33,Q,Grand Central Parkway,,,,,,,,Other,"Natural Areas,Trails",,,"Queens
Sector 8.9",,"Districts
8, 9",,,12.95,171.20,,3,1,,1,1,53.00,,19.00,,,23.00,,27.00,,2.7,2.1,2.2,2.0,,No,No,No,No,233.00,0.00,125.00,189.00
M014 1,M,Jackie Robinson Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Manhattan Sector 10.11,,"Districts 10, 11",,,12.77,12.77,,377,264,,217,148,4246.00,,2627.00,,,1994.00,,1960.00,,6.3,6.5,6.6,6.3,,Yes,Yes,Yes,Yes,8119.00,3705.00,3816.00,30619.00
Q028,Q,Beach Channel Park,,,,,,,,Small Park,,,,Queens Sector 14,,District 14,,,12.62,12.62,,3,3,,2,3,39.00,,39.00,,,33.00,,45.00,,2.8,4.5,4.8,4.5,,No,No,No,No,134.00,0.00,28.00,0.00
Q392,Q,Idlewild Park,,,,,,,,Large Park,"Athletic Facilities,Natural
Areas,Trails",,,"Queens Sector
11.13",,"Districts 11, 13",,,12.59,180.85,,11,4,,2,3,120.00,,70.00,,,31.00,,51.00,,3.8,1.8,1.8,3.1,,No,No,No,No,369.00,917.00,0.00,1820.00
X307,X,Barretto Point Park,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,12.22,12.22,,17,6,,7,43,289.00,,86.00,,,107.00,,566.00,,3.9,1.7,2.4,5.2,,Yes,No,No,Yes,3447.00,817.00,1466.00,13945.00
Q006 1,Q,Bowne Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 7,,District 7,,,11.79,11.79,,7,3,,7,25,130.00,,57.00,,,123.00,,424.00,,3.2,2.5,3.5,4.5,,No,No,No,Yes,2602.00,1355.00,2276.00,2716.00
X201,X,Seton Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Natural Areas,Playground,T
rails",,,Bronx Sector 7.8,,"Districts 7, 8",,,11.69,11.69,,23,21,,13,29,394.00,,330.00,,,202.00,,399.00,,5.2,4.5,4.5,4.1,,Yes,Yes,No,No,765.00,2426.00,2508.00,1995.00
X344,X,Mill Pond Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station",,,Bronx Sector 4.5,,"Districts 4, 5",,,11.57,11.57,,49,31,,28,42,622.00,,389.00,,,356.00,,575.00,,5.7,5.0,3.4,4.4,,Yes,Yes,Yes,Yes,1306.00,2805.00,2695.00,1244.00
Q023 2,Q,Rufus King Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station,Playground",,,"Queens
Sector 10.12",,"Districts 10, 12",,,11.50,11.50,,71,173,,175,123,870.00,,2168.00,,,2202.00,,1656.00,,4.9,6.2,6.9,6.8,,Yes,Yes,Yes,Yes,5202.00,3656.00,1315.00,1201.00
Q445,Q,Frank Golden Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 7,,District 7,,,11.42,11.42,,16,1,,3,13,276.00,,25.00,,,45.00,,229.00,,3.4,1.6,2.2,3.0,,Yes,No,No,Yes,504.00,778.00,841.00,0.00
X044,X,St. James Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station",,,Bronx Sector 7.8,,"Districts 7, 8",,,11.39,11.39,,101,59,,58,103,1394.00,,837.00,,,880.00,,1504.00,,6.1,6.2,6.5,6.2,,No,No,No,Yes,3486.00,3743.00,5007.00,7728.00
M043,M,Isham Park,,,,,,,,Large Park,"Athletic Facilities,Trails",,,"Manhattan
Sector 12.12A",,"Districts 12, 12A",,,11.35,20.13,,47,25,,29,38,656.00,,318.00,,,383.00,,520.00,,6.1,5.3,6.3,6.5,,No,No,No,Yes,453.00,176.00,72.00,443.00
Q051,Q,St. Albans Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,"Queens Sector
10.12",,"Districts 10, 12",,,10.79,10.79,,31,73,,93,78,380.00,,902.00,,,1167.00,,1048.00,,3.9,6.5,6.7,6.5,,Yes,Yes,Yes,Yes,1752.00,3608.00,657.00,946.00
Q094D,Q,Gemini Fields,,,,,,,,Small Park,Athletic Facilities,,,"Queens Sector
10.12",,"Districts 10, 12",,,10.76,10.76,,9,12,,7,12,132.00,,167.00,,,107.00,,177.00,,2.9,3.1,2.5,4.1,,No,No,No,No,180.00,0.00,123.00,644.00
X268,X,Givans Creek Woods,,,,,,,,Large Park,"Natural Areas,Trails",,,"Bronx Sector
9.10",,"Districts 9, 10",,,10.74,10.74,,8,3,,3,10,131.00,,59.00,,,52.00,,157.00,,5.4,2.9,3.0,4.2,,No,No,No,No,45.00,0.00,0.00,89.00
M098,M,Washington Square Park,,,,,,,,Large Park,"Comfort Station,Playgrounds",,,Manhattan Sector 1.2,,"Districts 1, 2",,,10.68,9.75,,509,313,,156,217,6385.00,,3788.00,,,1720.00,,3227.00,,5.9,4.8,4.8,6.7,,Yes,Yes,Yes,Yes,4538.00,6428.00,5125.00,9792.00
B431 34,B,Brooklyn Bridge Park,,,,,,,,"Large
Park",Playground,,,"Brooklyn
Sector 2",,District 2,,,10.67,21.38,,,,,43,39,,,,,,522.00,,477.00,,,,6.0,5.2,,,,Yes,Yes,0.00,0.00,0.00,21.00
B008 1,B,Betsy Head Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,10.56,10.56,,104,36,,36,58,1354.00,,471.00,,,476.00,,770.00,,6.4,5.8,5.8,4.4,,Yes,Yes,No,Yes,11285.00,3794.00,904.00,27863.00
R109 1,R,CPL. Thompson Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,"Staten Island
Sector 1",,District 1,,,10.50,10.50,,20,24,,22,20,293.00,,345.00,,,337.00,,305.00,,6.4,6.9,6.2,6.3,,No,No,No,No,17281.00,3303.00,3440.00,77301.00
M088,M,Tompkins Square Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Manhattan Sector 3,,District 3,,,10.50,10.50,,49,114,,115,50,596.00,,647.00,,,628.00,,621.00,,6.6,6.4,6.8,6.9,,No,No,No,No,6249.00,7231.00,4178.00,4216.00
B021,B,Commodore Barry Park,,,,,,,,Large Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 2,,District 2,,,10.39,10.39,,63,96,,154,103,777.00,,1227.00,,,2041.00,,1366.00,,5.4,6.5,6.5,6.1,,Yes,Yes,Yes,Yes,7496.00,4697.00,4333.00,22045.00
B113A,B,Cadman Plaza Park,,,,,,,,"Large
Park",Comfort Station,,,"Brooklyn
Sector 2",,District 2,,,10.38,10.38,,47,41,,36,39,650.00,,548.00,,,469.00,,562.00,,5.9,6.2,6.4,6.5,,No,No,No,No,2694.00,2940.00,1879.00,3138.00
B214,B,Linden Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,10.24,9.32,,68,47,,36,80,851.00,,564.00,,,476.00,,1009.00,,6.1,6.3,6.7,6.3,,No,No,No,Yes,1467.00,1023.00,2306.00,1320.00
Q471,Q,Hunter's Point South Park,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station",,,Queens Sector 1.2,,"Districts 1, 2",,,10.00,10.00,,188,219,,196,292,3356.00,,3774.00,,,3217.00,,4514.00,,6.6,6.9,6.5,6.8,,Yes,Yes,Yes,Yes,3993.00,1411.00,1095.00,7595.00
X001A,X,Aqueduct Walk,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Bronx Sector 4.5,,"Districts 4, 5",,,9.61,8.61,,86,67,,59,58,1001.00,,995.00,,,880.00,,879.00,,6.4,6.4,6.8,5.8,,No,No,No,No,583.00,1229.00,1025.00,1289.00
M008 35,M,Bryant Park,,,,,,,,"Large
Park",Comfort Stations,,,"Manhattan
Sector 4.5",,"Districts
4, 5",,,9.60,9.60,,"1,152","1,190",,549,270,0.00,,0.00,,,0.00,,183.00,,6.4,6.7,6.4,6.1,,Yes,Yes,Yes,Yes,0.00,0.00,0.00,29.00
X191A 1,X,Bicentennial Veterans Memorial Park,,,,,,,,Large Park,Athletic Facility,,,"Bronx Sector
9.10",,"Districts 9, 10",,,9.40,9.40,,15,5,,8,12,220.00,,82.00,,,117.00,,178.00,,5.4,4.3,3.9,4.5,,No,No,No,No,155.00,661.00,72.00,621.00
B245,B,St. John's Park,,,,,,,,Large Park,"Athletic Facilities,Playgroun
d",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,9.34,9.34,,120,73,,54,64,1722.00,,1056.00,,,867.00,,987.00,,6.4,6.0,5.5,6.0,,Yes,Yes,Yes,Yes,2243.00,5143.00,3154.00,2101.00
X196,X,Haffen Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,"Bronx Sector
11.12",,"Districts 11, 12",,,9.24,9.24,,97,111,,77,126,1557.00,,1670.00,,,1229.00,,1845.00,,6.5,6.8,6.8,6.8,,Yes,No,No,No,3401.00,4045.00,3863.00,40184.00
R052,R,Allison Pond Park,,,,,,,,Large Park,Trails,,,"Staten
Island Sector 1",,District 1,,,9.20,9.20,,10,8,,6,7,152.00,,122.00,,,93.00,,110.00,,6.1,6.3,5.0,5.0,,No,No,No,No,1765.00,2332.00,0.00,903.00
Q052 1,Q,Captain Tilly Park,,,,,,,,"Large
Park","Comfort
Station,Playground",,,"Queens
Sector 8.9",,"Districts
8, 9",,,9.16,9.16,,8,40,,45,41,137.00,,700.00,,,803.00,,721.00,,3.2,5.8,6.2,6.2,,No,Yes,Yes,Yes,178.00,859.00,166.00,962.00
Q089B,Q,Harvey Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 7,,District 7,,,9.15,9.15,,46,24,,19,44,576.00,,293.00,,,240.00,,546.00,,5.7,4.0,3.8,5.3,,Yes,Yes,Yes,Yes,1059.00,2169.00,1186.00,1713.00
B114 1,B,Msgr. McGolrick Park,,,,,,,,"Large
Park","Comfort
Station,Playground",,,"Brooklyn
Sector 1",,District 1,,,9.13,9.13,,65,32,,14,39,953.00,,551.00,,,250.00,,688.00,,5.5,5.2,3.5,3.7,,Yes,No,No,Yes,1338.00,926.00,488.00,1378.00
X080,X,Henry Hudson Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Bronx Sector 7.8,,"Districts 7, 8",,,8.97,8.97,,156,113,,85,115,1436.00,,1540.00,,,1188.00,,1514.00,,5.2,4.5,4.8,4.3,,Yes,Yes,Yes,Yes,730.00,3354.00,1129.00,1235.00
Q131 1,Q,Frank Principe Park,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 5.6,,"Districts 5, 6",,,8.90,8.90,,62,64,,35,45,792.00,,844.00,,,499.00,,630.00,,5.9,6.2,6.0,6.5,,Yes,Yes,No,Yes,216.00,713.00,28.00,393.00
X007,X,Castle Hill Park,,,,,,,,Small Park,"Natural Areas,Trails",,,"Bronx Sector
9.10",,"Districts 9, 10",,,8.83,8.83,,7,4,,8,9,114.00,,60.00,,,124.00,,133.00,,5.6,3.4,4.4,4.2,,No,No,No,No,0.00,414.00,249.00,650.00
Q413,Q,Rochdale Park,,,,,,,,Large Park,"Athletic Facilities,Playgroun
d",,,"Queens Sector
10.12",,"Districts 10, 12",,,8.83,8.83,,37,55,,40,139,489.00,,764.00,,,596.00,,2012.00,,4.7,6.3,6.8,6.9,,Yes,No,No,No,1881.00,5474.00,3316.00,515.00
M013,M,City Hall Park,,,,,,,,"Large
Park",,,,"Manhattan
Sector 1.2",,"Districts
1, 2",,,8.80,8.80,,65,53,,45,82,1085.00,,919.00,,,788.00,,1359.00,,5.2,5.9,5.5,6.1,,No,No,No,No,3468.00,11496.00,2851.00,5968.00
X147A,X,Starlight Park,,,,,,,,Large Park,"Athletic
Facilities,Playgroun d",,,Bronx Sector 14,,District 14,,,8.77,14.40,,43,25,,16,44,589.00,,361.00,,,226.00,,693.00,,5.9,4.8,3.2,5.1,,No,No,No,No,1167.00,1587.00,863.00,1411.00
B379,B,Coney Island Creek Park,,,,,,,,"Large
Park",,,,"Brooklyn
Sector 13",,"District
13",,,8.66,8.66,,3,7,,4,10,43.00,,89.00,,,57.00,,127.00,,1.0,1.5,1.5,1.9,,No,No,No,No,25.00,975.00,44.00,0.00
